game_date,team_won,team_won_score,team_lost,team_lost_score,event_title,best_of
Results for May 24th 2020,Spirit,2,forZe,1,Home Sweet Home Cup 5,bo3
Results for May 23rd 2020,Liquid,2,MIBR,0,DreamHack Masters Spring 2020 - North America,bo3
Results for May 23rd 2020,BIG,2,Unicorns of Love,0,Merkur Masters,bo3
Results for May 23rd 2020,Heretics,2,TheDice,0,ESL National Championship France Summer 2020,bo3
Results for May 23rd 2020,SMASH,2,Nordavind,1,Home Sweet Home Cup 5,bo3
Results for May 23rd 2020,Complexity,2,MAD Lions,0,DreamHack Masters Spring 2020 - Europe,bo3
Results for May 23rd 2020,sAw,2,Real Betis,0,RTP Arena Cup,bo3
Results for May 23rd 2020,ALTERNATE aTTaX,2,Sprout,1,Merkur Masters,bo3
Results for May 23rd 2020,BIG,2,mousesports,1,DreamHack Masters Spring 2020 - Europe,bo3
Results for May 23rd 2020,Invictus,2,D13,1,Weibo Cup Asian Championship 2020,bo3
Results for May 23rd 2020,Movistar Riders,2,Giants,0,RTP Arena Cup,bo3
Results for May 23rd 2020,Heroic,2,Hard Legion,1,Home Sweet Home Cup 5,bo3
Results for May 23rd 2020,TIGER,2,BTRG,0,Weibo Cup Asian Championship 2020,bo3
Results for May 23rd 2020,Syman,2,Secret,1,Home Sweet Home Cup 5,bo3
Results for May 23rd 2020,Invictus,2,OneThree,0,Betway Asia Masters 2020,bo3
Results for May 23rd 2020,Imperial,2,Prodigy,1,CBCS The Rising 2020,bo3
Results for May 22nd 2020,Big Frames,1,Keep the Comms Up,0,WINNERS League Season 4 North America,-
Results for May 22nd 2020,MIBR,2,Chaos,0,DreamHack Masters Spring 2020 - North America,bo3
Results for May 22nd 2020,ALTERNATE aTTaX,2,epikk,0,Merkur Masters,bo3
Results for May 22nd 2020,Nordavind,2,SKADE,0,Home Sweet Home Cup 5,bo3
Results for May 22nd 2020,HAVU,2,Endpoint,1,BLAST Rising 2020,bo3
Results for May 22nd 2020,BIG,2,MAD Lions,1,DreamHack Masters Spring 2020 - Europe,bo3
Results for May 22nd 2020,Hard Legion,2,HellRaisers,1,SECTOR: MOSTBET Season 3,bo3
Results for May 22nd 2020,Unicorns of Love,2,ttc,1,Merkur Masters,bo3
Results for May 22nd 2020,Nemiga,16,Bpro,4,WINNERS League Season 4 Europe,inf
Results for May 22nd 2020,SKADE,2,Winstrike,0,Home Sweet Home Cup 5,bo3
Results for May 22nd 2020,D13,2,OneThree,1,Weibo Cup Asian Championship 2020,bo3
Results for May 22nd 2020,Heroic,2,Nordavind,0,Home Sweet Home Cup 5,bo3
Results for May 22nd 2020,Complexity,2,mousesports,0,DreamHack Masters Spring 2020 - Europe,bo3
Results for May 22nd 2020,Heroic,19,Winstrike,15,Home Sweet Home Cup 5,d2
Results for May 22nd 2020,Invictus,2,Lynn Vision,0,Weibo Cup Asian Championship 2020,bo3
Results for May 22nd 2020,Nordavind,16,SKADE,4,Home Sweet Home Cup 5,inf
Results for May 22nd 2020,Warriors International,16,Morning Light,14,ESEA MDL Season 34 North America,mrg
Results for May 22nd 2020,New England Whalers,16,Morning Light,9,ESEA MDL Season 34 North America,d2
Results for May 22nd 2020,Triumph,16,Yeah,12,WINNERS League Season 4 North America,inf
Results for May 22nd 2020,New England Whalers,16,Keep the Comms Up,9,ESEA MDL Season 34 North America,d2
Results for May 22nd 2020,Keep the Comms Up,16,Chaos,13,ESEA MDL Season 34 North America,inf
Results for May 22nd 2020,Rugratz,16,TeamOne,6,ESEA MDL Season 34 North America,trn
Results for May 22nd 2020,Thunder Logic,16,New England Whalers,10,WINNERS League Season 4 North America,ovp
Results for May 22nd 2020,Redemption POA,2,Evidence,1,CBCS The Rising 2020,bo3
Results for May 22nd 2020,FURIA,2,Liquid,1,DreamHack Masters Spring 2020 - North America,bo3
Results for May 21st 2020,Syman,2,c0ntact,0,Home Sweet Home Cup 5,bo3
Results for May 21st 2020,HAVU,2,ALTERNATE aTTaX,0,BLAST Rising 2020,bo3
